#{"t_start": 1749460870.6456552, "env_id": "None"}
r,l,t
97.0,103,38.892272
15.5,24,38.90388
187.0,118,38.965091
-9.0,22,38.976636
148.0,99,39.02705
27.0,33,39.043986
211.5,140,39.113119
377.5,236,39.235842
70.0,71,39.270485
73.5,72,39.30725
93.0,59,39.345306
411.5,235,39.506606
94.5,88,39.555438
65.0,61,39.589496
140.0,86,41.121638
-21.5,12,41.128151
256.5,155,41.226113
311.5,205,41.349813
80.5,74,41.387905
70.0,66,41.421145
32.5,46,41.444806
386.0,232,41.570059
308.0,124,41.643205
125.0,76,41.686914
60.5,49,41.713711
441.5,265,41.866325
-11.5,22,41.878861
137.0,98,41.935914
193.0,149,42.056515
149.5,148,42.143366
124.5,73,42.183067
514.0,325,43.668565
258.0,139,43.762635
109.0,55,43.801712
247.0,143,43.883376
-17.0,14,43.890402
185.5,139,43.97181
73.0,59,44.003545
129.0,85,44.04899
239.5,128,44.119346
240.5,189,44.217119
306.0,202,44.335822
81.0,77,44.379547
39.5,48,44.404897
209.5,138,44.476034
-20.5,18,44.486546
78.5,67,44.521733
77.5,91,44.568375
235.5,154,44.64915
-6.0,25,44.662684
-33.0,23,44.674649
72.0,68,44.710648
73.0,74,44.749286
217.5,176,46.026628
494.5,268,46.189379
114.0,85,46.232497
-11.5,17,46.242036
132.0,103,46.296038
65.0,56,46.324188
331.0,197,46.42335
279.0,195,46.522415
363.0,234,46.643128
128.5,82,46.685814
173.0,109,46.743188
37.5,51,46.76877
62.0,48,46.794319
304.0,160,46.876868
-8.5,25,46.890432
133.0,109,46.945374
474.5,308,48.063152
59.5,43,48.091693
232.0,143,48.182932
138.0,84,48.227189
157.0,98,48.277889
411.0,207,48.38464
257.5,136,48.451667
129.0,90,48.499726
53.5,67,48.533004
769.5,393,48.728107
113.5,62,48.759784
423.0,264,48.894642
172.5,121,48.95316
339.5,178,49.041287
250.0,146,50.132627
-6.5,22,50.144147
163.0,109,50.206761
256.5,150,50.29796
241.0,117,50.37673
329.5,203,50.498366
11.0,47,50.523032
137.0,103,50.577368
151.0,97,50.627574
282.0,163,50.712595
-32.0,19,50.72327
180.0,126,50.789146
218.5,137,50.862019
275.5,164,50.954171
580.0,321,51.130265
-6.0,25,51.143333
358.0,179,52.492312
77.0,63,52.538918
181.0,102,52.639881
-14.0,17,52.65341
184.0,125,52.738446
283.0,199,52.879795
295.5,169,52.980778
348.5,182,53.092544
29.0,35,53.111575
296.5,175,53.213988
458.5,232,53.359784
119.0,80,53.42423
169.0,85,53.509663
-24.5,4,53.514664
-5.5,23,53.540743
419.0,250,53.813061
-19.5,9,53.823857
331.0,177,53.990583
351.0,197,55.22084
105.0,66,55.26039
